"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Create Booking","5","0","Успешное создание брони","0"
"0","","0","Update Booking","4","0","Негативные сценарии обновления брони","0"
"0","","0","Get Booking","4","0","Получение списка броней","0"
"0","","0","Validation","2","0","Валидация схемы ответа","0"
"0","","0","Create Booking","3","0","Негативные сценарии создания брони","0"
"0","","0","Performance","1","0","Нагрузочный тест: 10 последовательных запросов","0"
"0","","0","Create Booking","2","0","Валидация и проверка данных брони","0"
"0","","0","Get Booking","3","0","Получение брони по ID","0"
"0","","0","Auth","4","0","Негативные сценарии авторизации","0"
"0","","0","Update Booking","6","0","Успешное обновление брони","0"
"0","","0","Validation","1","0","Обработка 403 (Forbidden)","0"
"0","","0","Auth","4","0","Успешная авторизация","0"
"0","","0","Performance","1","0","Тест на идемпотентность получения токена","0"
"0","","0","Validation","1","0","Проверка времени ответа","0"
"0","","1","Get Booking","2","0","Фильтрация списка броней","0"
"0","","0","Validation","1","0","Таймаут запроса","0"
"0","","0","Delete Booking","4","0","Негативные сценарии удаления брони","0"
"0","","0","Delete Booking","2","0","Успешное удаление брони","0"
"0","","0","Validation","1","0","Обработка 400 (Bad Request)","0"
"0","","0","E2E","1","0","Reservation","0"
"0","","0","Validation","1","0","Проверка заголовков ответа","0"
"0","","0","Validation","1","0","Обработка 404 (Not Found)","0"
