"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","63","Создание брони с минимальными полями","tests","Mon Jun 01 10:15:11 UTC 2026","passed","Mon Jun 01 10:15:11 UTC 2026","TestCreateBooking","test_create_booking","",""
"","213","Обновление с неверным токеном","tests","Mon Jun 01 10:15:17 UTC 2026","passed","Mon Jun 01 10:15:17 UTC 2026","TestUpdateBooking","test_update_booking","",""
"","66","Создание брони с additionalneeds","tests","Mon Jun 01 10:15:11 UTC 2026","passed","Mon Jun 01 10:15:11 UTC 2026","TestCreateBooking","test_create_booking","",""
"","65","Создание брони с depositpaid=false","tests","Mon Jun 01 10:15:11 UTC 2026","passed","Mon Jun 01 10:15:11 UTC 2026","TestCreateBooking","test_create_booking","",""
"","88","Валидация схемы ответа списка броней","tests","Mon Jun 01 10:15:14 UTC 2026","passed","Mon Jun 01 10:15:14 UTC 2026","TestGetBooking","test_get_booking","",""
"","193","Проверка заголовков ответа","tests","Mon Jun 01 10:15:14 UTC 2026","passed","Mon Jun 01 10:15:15 UTC 2026","TestGetBooking","test_get_booking","",""
"","68","Валидация схемы ответа создания брони","tests","Mon Jun 01 10:15:18 UTC 2026","passed","Mon Jun 01 10:15:18 UTC 2026","TestValidation","test_validation","",""
"","89","Валидация схемы ответа списка броней","tests","Mon Jun 01 10:15:18 UTC 2026","passed","Mon Jun 01 10:15:18 UTC 2026","TestValidation","test_validation","",""
"","239","Создание брони с превышением лимита lastname","tests","Mon Jun 01 10:15:11 UTC 2026","passed","Mon Jun 01 10:15:11 UTC 2026","TestCreateBooking","test_create_booking","",""
"","129","Обновление без токена","tests","Mon Jun 01 10:15:17 UTC 2026","passed","Mon Jun 01 10:15:17 UTC 2026","TestUpdateBooking","test_update_booking","",""
"","638","Замер времени 10 GET-запросов подряд","tests","Mon Jun 01 10:15:15 UTC 2026","passed","Mon Jun 01 10:15:15 UTC 2026","TestPerformance","test_perf","",""
"","130","Проверка уникальности bookingid","tests","Mon Jun 01 10:15:12 UTC 2026","passed","Mon Jun 01 10:15:12 UTC 2026","TestCreateBooking","test_create_booking","",""
"","64","Получение несуществующей брони по ID","tests","Mon Jun 01 10:15:14 UTC 2026","passed","Mon Jun 01 10:15:14 UTC 2026","TestGetBooking","test_get_booking","",""
"","267","Использование неверного токена","tests","Mon Jun 01 10:15:10 UTC 2026","passed","Mon Jun 01 10:15:10 UTC 2026","TestAuth","test_auth","",""
"","198","PATCH: обновление только totalprice","tests","Mon Jun 01 10:15:18 UTC 2026","passed","Mon Jun 01 10:15:18 UTC 2026","TestUpdateBooking","test_update_booking","",""
"","64","Создание брони с пустым firstname","tests","Mon Jun 01 10:15:11 UTC 2026","passed","Mon Jun 01 10:15:11 UTC 2026","TestCreateBooking","test_create_booking","",""
"","326","Запрос к защищённому эндпоинту без токена","tests","Mon Jun 01 10:15:19 UTC 2026","passed","Mon Jun 01 10:15:20 UTC 2026","TestValidation","test_validation","",""
"","67","Получение токена с несуществующим пользователем","tests","Mon Jun 01 10:15:10 UTC 2026","passed","Mon Jun 01 10:15:10 UTC 2026","TestAuth","test_auth","",""
"","199","Полное обновление брони (PUT) с токеном","tests","Mon Jun 01 10:15:16 UTC 2026","passed","Mon Jun 01 10:15:16 UTC 2026","TestUpdateBooking","test_update_booking","",""
"","331","Использование токена для защищённого запроса","tests","Mon Jun 01 10:15:10 UTC 2026","passed","Mon Jun 01 10:15:10 UTC 2026","TestAuth","test_auth","",""
"","198","PATCH: обновление только depositpaid","tests","Mon Jun 01 10:15:18 UTC 2026","passed","Mon Jun 01 10:15:18 UTC 2026","TestUpdateBooking","test_update_booking","",""
"","194","Проверка времени ответа","tests","Mon Jun 01 10:15:15 UTC 2026","passed","Mon Jun 01 10:15:15 UTC 2026","TestGetBooking","test_get_booking","",""
"","198","Обновление с невалидными данными","tests","Mon Jun 01 10:15:17 UTC 2026","passed","Mon Jun 01 10:15:17 UTC 2026","TestUpdateBooking","test_update_booking","",""
"","655","Два раза POST /auth → оба токена работают","tests","Mon Jun 01 10:15:15 UTC 2026","passed","Mon Jun 01 10:15:16 UTC 2026","TestPerformance","test_perf","",""
"","68","Получение токена с неверным паролем","tests","Mon Jun 01 10:15:10 UTC 2026","passed","Mon Jun 01 10:15:10 UTC 2026","TestAuth","test_auth","",""
"","526","Время < 2000 мс для всех эндпоинтов","tests","Mon Jun 01 10:15:19 UTC 2026","passed","Mon Jun 01 10:15:19 UTC 2026","TestValidation","test_validation","",""
"","65","Фильтрация по lastname","tests","Mon Jun 01 10:15:14 UTC 2026","passed","Mon Jun 01 10:15:14 UTC 2026","TestGetBooking","test_get_booking","",""
"","67","Валидация формата токена","tests","Mon Jun 01 10:15:11 UTC 2026","passed","Mon Jun 01 10:15:11 UTC 2026","TestAuth","test_auth","",""
"","127","Получение всех броней","tests","Mon Jun 01 10:15:13 UTC 2026","passed","Mon Jun 01 10:15:14 UTC 2026","TestGetBooking","test_get_booking","",""
"","202","Валидация схемы после обновления","tests","Mon Jun 01 10:15:17 UTC 2026","passed","Mon Jun 01 10:15:18 UTC 2026","TestUpdateBooking","test_update_booking","",""
"","9","Проверка таймаута запроса","tests","Mon Jun 01 10:15:20 UTC 2026","passed","Mon Jun 01 10:15:20 UTC 2026","TestValidation","test_validation","",""
"","130","Удаление брони без токена","tests","Mon Jun 01 10:15:12 UTC 2026","passed","Mon Jun 01 10:15:12 UTC 2026","TestDeleteBooking","test_delete_booking","",""
"","130","Фильтрация по датам (checkin/checkout)","tests","Mon Jun 01 10:15:14 UTC 2026","failed","Mon Jun 01 10:15:14 UTC 2026","TestGetBooking","test_get_booking","",""
"","66","Фильтрация по firstname","tests","Mon Jun 01 10:15:14 UTC 2026","passed","Mon Jun 01 10:15:14 UTC 2026","TestGetBooking","test_get_booking","",""
"","315","Получение токена с валидными данными","tests","Mon Jun 01 10:15:09 UTC 2026","passed","Mon Jun 01 10:15:10 UTC 2026","TestAuth","test_auth","",""
"","198","Обновление с изменением дат","tests","Mon Jun 01 10:15:17 UTC 2026","passed","Mon Jun 01 10:15:17 UTC 2026","TestUpdateBooking","test_update_booking","",""
"","135","Валидация схемы ответа одной брони","tests","Mon Jun 01 10:15:14 UTC 2026","passed","Mon Jun 01 10:15:14 UTC 2026","TestGetBooking","test_get_booking","",""
"","132","Проверка, что созданная бронь доступна по GET","tests","Mon Jun 01 10:15:12 UTC 2026","passed","Mon Jun 01 10:15:12 UTC 2026","TestCreateBooking","test_create_booking","",""
"","259","Запрос без токена к защищённому эндпоинту","tests","Mon Jun 01 10:15:10 UTC 2026","passed","Mon Jun 01 10:15:11 UTC 2026","TestAuth","test_auth","",""
"","130","Удаление брони с неверным токеном","tests","Mon Jun 01 10:15:12 UTC 2026","passed","Mon Jun 01 10:15:12 UTC 2026","TestDeleteBooking","test_delete_booking","",""
"","66","Создание брони с checkout раньше checkin","tests","Mon Jun 01 10:15:11 UTC 2026","passed","Mon Jun 01 10:15:11 UTC 2026","TestCreateBooking","test_create_booking","",""
"","258","Удаление брони и проверка недоступности","tests","Mon Jun 01 10:15:12 UTC 2026","passed","Mon Jun 01 10:15:12 UTC 2026","TestDeleteBooking","test_delete_booking","",""
"","135","Повторное получение токена (идемпотентность)","tests","Mon Jun 01 10:15:11 UTC 2026","passed","Mon Jun 01 10:15:11 UTC 2026","TestAuth","test_auth","",""
"","133","Получение существующей брони по ID","tests","Mon Jun 01 10:15:14 UTC 2026","passed","Mon Jun 01 10:15:14 UTC 2026","TestGetBooking","test_get_booking","",""
